URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,DNS_QUERY_TIMES,Type
17,6,0,159,35,4,31,22,3,3812,39,37,18784,4380,8.0,0
18,7,1,159,28,66,11,6,9,894,11,13,838,894,0.0,0
18,6,2,13,35,23,12,0,3,1189,14,13,8559,1327,2.0,0
19,6,3,87,35,32,0,0,0,0,0,0,0,0,0.0,0
20,6,4,6,35,49,0,0,0,0,0,0,0,0,0.0,0
20,6,3,87,35,23,0,0,0,0,0,0,0,0,0.0,0
21,7,2,159,27,97,6,0,2,603,8,9,1580,745,2.0,1
22,7,3,87,35,23,9,0,4,850,11,9,1354,994,2.0,1
22,6,4,189,35,20,39,29,6,3833,43,42,22495,4125,4.0,0
22,6,2,159,35,133,8,6,6,696,8,10,636,696,0.0,0
22,7,4,72,2,146,12,0,2,2259,16,12,5165,2559,4.0,0
22,6,1,173,35,32,6,0,3,650,10,10,1417,950,4.0,0
22,6,0,6,35,102,0,0,0,0,0,0,0,0,0.0,0
22,6,0,173,35,134,0,0,0,0,0,0,0,0,0.0,0
22,6,4,159,6,7,0,0,0,0,0,0,0,0,0.0,0
23,6,4,6,35,32,16,3,11,1696,18,20,13422,1844,2.0,0
23,6,2,50,24,110,0,0,0,0,0,0,0,0,0.0,0
23,6,1,110,35,105,10,0,5,1186,14,15,1900,1476,4.0,0
23,6,0,173,16,12,43,4,4,5738,47,50,56926,6046,4.0,0
23,6,2,6,35,20,8,0,2,723,10,11,1837,871,2.0,0
23,6,0,6,6,3,40,17,16,3285,46,45,12003,3729,6.0,0
24,9,2,6,16,132,7,0,2,720,9,10,1269,868,2.0,1
24,7,4,159,35,86,14,6,6,1907,18,18,5601,2171,4.0,0
24,6,3,87,6,170,6,4,4,564,6,8,508,564,0.0,0
24,8,2,28,35,55,19,2,4,2131,23,23,9471,2441,4.0,0
24,6,4,185,6,100,12,2,7,984,16,16,1839,1292,4.0,0
24,6,2,13,35,90,19,5,9,1390,21,25,3890,1540,2.0,0
24,6,1,6,24,110,23,3,15,2485,27,28,9332,2799,4.0,0
25,6,4,36,6,19,0,0,0,0,0,0,0,0,0.0,0
25,7,4,159,35,86,0,0,0,0,0,0,0,0,0.0,0
25,6,1,159,35,86,0,0,0,0,0,0,0,0,0.0,0
25,6,3,90,35,71,5,2,4,474,5,4,250,474,0.0,0
25,6,1,6,35,26,12,0,5,1327,16,17,14050,1615,4.0,0
25,6,0,6,35,20,36,17,9,4737,42,35,10343,5173,6.0,0
25,6,1,6,12,151,0,0,0,0,0,0,0,0,0.0,0
25,6,3,87,35,23,0,0,0,0,0,0,0,0,0.0,0
25,6,0,6,35,26,0,0,0,0,0,0,0,0,0.0,0
26,7,0,173,35,127,24,0,3,2508,30,30,21098,2992,6.0,1
26,7,0,56,12,150,9,0,4,842,11,12,2101,994,2.0,1
26,7,0,56,12,150,7,0,2,722,11,10,2000,1016,4.0,1
26,7,0,56,12,150,7,0,2,722,11,9,1913,1036,4.0,1
26,6,4,159,35,51,0,0,0,0,0,0,0,0,0.0,0
26,7,1,110,35,59,0,0,0,0,0,0,0,0,0.0,0
26,6,1,159,6,100,0,0,0,0,0,0,0,0,0.0,0
26,6,2,6,24,110,0,0,0,0,0,0,0,0,0.0,0
26,7,4,159,35,86,26,19,5,2727,30,19,5765,2991,4.0,0
26,6,0,173,35,79,9,7,4,702,9,10,696,702,0.0,0
26,6,2,13,35,32,43,0,2,3252,47,47,60076,3564,4.0,0
26,7,4,159,35,86,46,12,11,3783,50,18,5605,4047,4.0,0
26,7,4,159,35,86,21,8,9,2373,25,27,6199,2637,4.0,0
26,6,4,110,35,154,7,0,2,984,11,12,1650,1300,4.0,0
26,6,0,173,35,28,0,0,0,0,0,0,0,0,0.0,0
26,6,1,110,35,109,0,0,0,0,0,0,0,0,0.0,0
26,6,1,159,35,53,0,0,0,0,0,0,0,0,0.0,0
26,6,4,173,35,13,0,0,0,0,0,0,0,0,0.0,0
27,7,1,29,12,150,38,0,3,4207,44,45,39662,4679,6.0,1
27,7,1,6,35,109,9,0,1,1838,11,13,4524,1992,2.0,1
27,8,1,159,35,149,0,0,0,0,0,0,0,0,0.0,0
27,6,3,87,35,23,0,0,0,0,0,0,0,0,0.0,0
27,6,4,189,35,127,3,3,1,366,3,5,306,366,0.0,0
27,6,1,22,2,120,40,13,14,3781,46,44,34101,4253,6.0,0
27,7,0,6,35,32,0,0,0,0,0,0,0,0,0.0,0
28,9,1,22,27,64,5,0,1,592,7,9,1062,732,2.0,1
28,7,3,87,35,32,5,0,2,556,9,9,1154,860,4.0,1
28,8,4,159,37,136,0,0,0,0,0,0,0,0,0.0,0
28,7,0,110,22,108,0,0,0,0,0,0,0,0,0.0,0
28,7,0,110,22,108,8,4,6,696,8,10,634,696,0.0,0
28,6,3,90,35,113,5,3,3,474,5,6,364,474,0.0,0
28,7,4,6,6,100,21,7,5,2830,29,25,6137,3400,8.0,0
28,6,1,6,16,139,14,9,2,2094,14,12,8019,2094,0.0,0
28,7,1,59,35,77,17,12,3,2314,23,27,21419,2740,6.0,0
28,7,1,80,35,20,66,5,11,6311,70,64,63634,6633,4.0,0
28,6,2,55,35,32,28,5,8,2324,30,33,24662,2482,2.0,0
28,8,1,6,35,13,6,0,3,632,8,8,593,776,2.0,0
28,6,4,96,35,86,0,0,0,0,0,0,0,0,0.0,0
28,6,1,159,35,26,0,0,0,0,0,0,0,0,0.0,0
29,7,0,6,35,59,34,0,2,2934,40,40,34995,3416,6.0,1
29,7,3,87,33,165,5,0,2,593,7,8,1128,751,2.0,1
29,6,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
29,8,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
29,6,1,6,35,42,0,0,0,0,0,0,0,0,0.0,0
29,7,4,159,35,86,0,0,0,0,0,0,0,0,0.0,0
29,6,2,58,35,75,0,0,0,0,0,0,0,0,0.0,0
29,6,1,29,18,106,0,0,0,0,0,0,0,0,0.0,0
29,7,2,31,6,116,0,0,0,0,0,0,0,0,0.0,0
29,6,3,87,35,73,12,8,6,900,12,9,568,900,0.0,0
29,7,1,28,6,3,709,708,3,2362906,709,837,83056,2362906,0.0,0
29,6,1,6,35,20,5,4,2,486,5,7,542,486,0.0,0
29,6,0,6,35,70,15,8,7,1134,15,9,605,1134,0.0,0
29,6,2,173,35,126,5,3,3,486,5,7,436,486,0.0,0
29,8,1,57,35,134,17,9,10,1249,17,15,1062,1249,0.0,0
29,7,0,6,35,20,32,21,8,4561,38,36,10429,4997,6.0,0
29,8,1,80,35,20,33,6,5,3533,37,35,46688,3859,4.0,0
29,8,1,105,8,157,28,0,5,3183,36,33,24455,3777,8.0,0
29,6,1,54,35,13,21,6,11,1515,23,18,1334,1675,2.0,0
29,6,4,22,35,90,24,1,3,2195,29,30,55576,2515,4.0,0
29,6,2,6,35,93,0,0,0,0,0,0,0,0,0.0,0
29,8,3,87,2,117,0,0,0,0,0,0,0,0,0.0,0
29,6,0,173,6,100,0,0,0,0,0,0,0,0,0.0,0
30,6,2,69,35,55,0,0,0,0,0,0,0,0,0.0,0
30,7,4,159,35,86,14,9,3,1918,18,17,5546,2182,4.0,0
30,6,0,6,35,20,22,17,2,3914,28,27,9833,4350,6.0,0
30,6,1,6,35,134,2,2,1,276,2,4,250,276,0.0,0
30,6,1,159,35,32,15,2,6,1528,19,17,5586,1860,4.0,0
30,6,3,87,35,81,90,6,14,8646,92,100,95659,8808,2.0,0
30,7,0,6,35,20,31,26,2,4412,37,37,27412,4848,6.0,0
30,7,4,5,35,13,23,1,10,1902,27,26,2764,2194,4.0,0
30,7,0,11,35,36,48,3,6,3418,52,48,57377,3706,4.0,0
30,8,1,110,35,20,0,0,0,0,0,0,0,0,0.0,0
30,7,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
31,7,3,90,35,20,7,0,2,707,11,11,1018,1031,4.0,1
31,8,4,1,35,20,0,0,0,0,0,0,0,0,0.0,0
31,7,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
31,8,4,6,35,63,0,0,0,0,0,0,0,0,0.0,0
31,7,4,76,6,100,4,3,2,432,4,6,372,432,0.0,0
31,8,2,22,16,40,5,0,1,593,9,9,955,929,4.0,0
31,7,4,159,35,86,28,13,13,2773,32,32,6566,3037,4.0,0
31,7,1,24,35,32,27,0,3,2743,33,33,43878,3181,6.0,0
31,6,3,90,35,75,23,1,4,2262,29,28,16553,2736,6.0,0
31,8,3,87,35,32,103,0,3,7073,105,113,179439,7217,2.0,0
31,6,1,6,35,59,13,8,8,1355,16,16,1145,1519,2.0,0
31,7,4,6,35,20,0,0,0,0,0,0,0,0,0.0,0
31,6,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
31,7,2,13,35,134,0,0,0,0,0,0,0,0,0.0,0
32,8,1,102,35,149,0,0,0,0,0,0,0,0,0.0,0
32,8,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
32,6,1,6,6,159,0,0,0,0,0,0,0,0,0.0,0
32,7,1,159,35,86,0,0,0,0,0,0,0,0,0.0,0
32,7,1,159,35,20,14,10,2,2000,20,20,9588,2498,6.0,0
32,8,4,90,34,38,5,3,2,474,5,7,426,474,0.0,0
32,7,1,6,35,45,94,0,4,11902,102,121,173484,12492,8.0,0
32,6,2,68,35,49,6,3,4,564,6,7,442,564,0.0,0
32,8,2,6,30,1,8,1,4,816,10,13,1541,958,2.0,0
32,7,2,39,35,63,71,0,3,10999,73,70,88707,11147,2.0,0
32,7,4,6,35,20,43,26,14,4214,49,28,9246,4650,6.0,0
32,8,1,102,35,149,36,0,2,3185,40,40,50608,3465,4.0,0
32,8,1,102,35,149,24,2,4,1888,28,25,40314,2168,4.0,0
32,7,1,80,35,20,38,2,5,4607,42,35,58676,4945,4.0,0
32,8,0,173,35,26,13,0,2,2065,17,16,7280,2349,4.0,0
33,7,4,110,35,86,0,0,0,0,0,0,0,0,0.0,0
33,8,1,102,35,149,0,0,0,0,0,0,0,0,0.0,0
33,6,2,6,18,35,0,0,0,0,0,0,0,0,0.0,0
33,6,4,46,6,16,0,0,0,0,0,0,0,0,0.0,0
33,8,4,167,35,26,0,0,0,0,0,0,0,0,0.0,0
33,7,2,6,18,106,0,0,0,0,0,0,0,0,0.0,0
33,8,1,102,35,149,52,7,8,3438,56,51,46498,3718,4.0,0
33,6,4,6,35,134,7,5,4,606,7,6,474,606,0.0,0
33,8,1,123,35,20,32,11,6,3694,40,32,11543,4286,8.0,0
33,7,1,80,35,20,4,2,3,408,4,6,382,408,0.0,0
33,6,1,44,35,13,8,4,5,660,8,9,556,660,0.0,0
33,6,0,10,35,32,5,4,2,486,5,7,542,486,0.0,0
33,8,1,102,35,149,10,4,4,816,10,6,476,816,0.0,0
33,6,1,90,35,5,24,1,4,3375,28,30,18396,3703,4.0,0
33,7,1,83,35,86,105,98,7,8692,111,130,179133,9172,6.0,0
33,6,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
34,9,0,110,38,52,26,0,3,3569,32,31,10750,4037,6.0,1
34,6,1,173,35,57,0,0,0,0,0,0,0,0,0.0,0
34,8,4,167,35,26,0,0,0,0,0,0,0,0,0.0,0
34,7,0,41,6,7,0,0,0,0,0,0,0,0,0.0,0
34,7,1,159,35,20,0,0,0,0,0,0,0,0,0.0,0
34,7,4,47,35,148,6,3,4,552,6,9,564,552,0.0,0
34,7,4,159,6,100,8,6,5,696,8,10,636,696,0.0,0
34,7,1,110,16,60,3,3,1,366,3,5,306,366,0.0,0
34,9,0,81,35,149,4,3,2,432,4,5,310,432,0.0,0
34,7,1,80,35,20,42,0,3,4895,46,45,39544,5241,4.0,0
34,9,0,37,35,26,21,0,5,2292,23,24,16147,2450,2.0,0
34,6,0,6,35,20,24,20,2,4372,31,33,13095,4808,6.0,0
34,8,0,159,35,20,7,0,2,716,11,10,1979,1030,4.0,0
34,7,0,159,35,93,23,3,11,2042,29,29,7939,2520,6.0,0
34,7,4,86,35,134,0,0,0,0,0,0,0,0,0.0,0
34,7,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
34,6,3,90,35,13,0,0,0,0,0,0,0,0,0.0,0
35,11,1,6,6,100,18,0,2,2102,20,21,20976,2252,2.0,1
35,8,0,110,38,52,15,1,2,1850,21,23,2970,2302,6.0,1
35,9,0,78,20,37,0,0,0,0,0,0,0,0,0.0,0
35,8,1,148,35,20,0,0,0,0,0,0,0,0,0.0,0
35,8,4,167,35,26,0,0,0,0,0,0,0,0,0.0,0
35,8,1,102,35,149,21,1,4,2435,25,25,39924,2715,4.0,0
35,9,3,87,35,20,49,10,6,2961,53,61,38255,3261,4.0,0
35,9,4,159,37,136,4,3,2,420,4,4,244,420,0.0,0
35,7,4,159,35,86,3,3,1,366,3,4,244,366,0.0,0
35,9,1,6,35,13,4,3,2,432,4,6,372,432,0.0,0
35,10,4,1,35,20,10,9,4,756,10,12,861,756,0.0,0
35,7,1,104,6,100,8,6,6,696,8,5,306,696,0.0,0
35,8,1,102,35,149,21,12,12,1446,21,24,1788,1446,0.0,0
35,6,3,87,35,109,23,8,5,3087,29,27,19078,3535,6.0,0
35,7,1,80,35,20,45,3,7,3507,49,46,42286,3857,4.0,0
35,8,1,102,35,149,37,0,3,3263,43,42,52720,3697,6.0,0
35,7,1,80,35,20,41,6,4,4769,45,42,69898,5119,4.0,0
35,8,0,6,1,15,32,5,8,2965,36,39,37146,3279,4.0,0
35,7,4,6,35,86,0,0,0,0,0,0,0,0,0.0,0
35,8,1,102,35,149,27,1,5,2771,31,33,36261,3051,4.0,0
35,8,0,6,1,15,0,0,0,0,0,0,0,0,0.0,0
36,8,0,110,38,52,6,0,4,372,8,10,703,520,2.0,1
36,8,0,159,35,20,0,0,0,0,0,0,0,0,0.0,0
36,7,0,173,35,49,0,0,0,0,0,0,0,0,0.0,0
36,6,0,173,35,20,0,0,0,0,0,0,0,0,0.0,0
36,7,3,87,35,30,0,0,0,0,0,0,0,0,0.0,0
36,8,0,159,8,171,18,2,8,1432,20,27,2113,1572,2.0,0
36,8,1,6,18,106,14,10,6,1096,16,19,1294,1246,2.0,0
36,7,1,159,35,20,3,3,1,366,3,4,244,366,0.0,0
36,8,1,158,35,20,5,3,3,498,5,7,438,498,0.0,0
36,8,0,45,35,109,5,3,2,474,5,5,306,474,0.0,0
36,7,4,6,35,20,61,7,6,6100,65,79,123896,6388,4.0,0
36,8,1,152,35,20,85,73,9,7506,91,96,107416,7962,6.0,0
36,7,0,110,35,20,14,7,5,1060,16,18,5214,1234,2.0,0
36,7,2,14,35,131,12,0,4,1331,16,13,4860,1631,4.0,0
36,7,1,6,35,9,17,0,4,2319,21,21,14373,2615,4.0,0
36,8,1,6,34,136,0,0,0,0,0,0,0,0,0.0,0
36,7,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
37,10,1,6,9,111,49,0,1,3505,51,53,66214,3657,2.0,1
37,9,5,8,35,53,2,0,2,128,4,5,407,276,2.0,1
37,9,0,159,8,161,1,0,1,66,3,4,404,206,2.0,1
37,10,0,159,8,166,12,0,2,1961,16,14,2991,2245,4.0,1
37,7,4,36,6,19,0,0,0,0,0,0,0,0,0.0,0
37,7,0,17,35,26,0,0,0,0,0,0,0,0,0.0,0
37,7,2,58,35,75,0,0,0,0,0,0,0,0,0.0,0
37,9,0,6,1,15,0,0,0,0,0,0,0,0,0.0,0
37,10,4,6,35,26,0,0,0,0,0,0,0,0,0.0,0
37,8,3,87,35,95,0,0,0,0,0,0,0,0,0.0,0
37,9,4,164,35,20,0,0,0,0,0,0,0,0,0.0,0
37,8,4,110,35,26,0,0,0,0,0,0,0,0,0.0,0
37,9,4,31,35,26,23,5,8,1674,23,11,696,1674,0.0,0
37,9,4,159,37,136,11,10,7,834,11,14,882,834,0.0,0
37,7,0,2,35,55,6,5,2,540,6,8,535,540,0.0,0
37,8,1,6,35,20,8,5,5,648,8,11,739,648,0.0,0
37,7,1,188,35,86,4,0,3,268,6,6,557,444,2.0,0
37,8,1,159,35,13,44,0,4,3767,48,48,129181,4079,4.0,0
37,8,0,159,35,98,16,1,6,1607,22,18,1690,2055,6.0,0
37,9,1,159,25,68,15,6,7,1283,17,15,2201,1425,2.0,0
37,8,4,177,35,86,68,6,7,5207,70,88,247488,5345,2.0,0
37,9,4,1,35,20,18,5,10,2248,26,28,3605,2890,8.0,0
37,8,4,38,35,13,0,0,0,0,0,0,0,0,0.0,0
37,7,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
38,10,2,13,6,100,14,4,6,888,14,5,316,888,0.0,1
38,9,0,18,35,140,15,0,2,2342,21,15,7249,2806,6.0,1
38,9,0,18,35,140,19,1,3,2594,25,25,7997,3058,6.0,1
38,9,0,21,35,55,0,0,0,0,0,0,0,0,0.0,0
38,8,1,110,35,93,0,0,0,0,0,0,0,0,0.0,0
38,8,4,159,37,136,0,0,0,0,0,0,0,0,0.0,0
38,9,4,6,35,63,19,0,3,1851,23,23,15551,2143,4.0,0
38,9,0,6,35,20,0,0,0,0,0,0,0,0,0.0,0
38,9,4,164,35,20,0,0,0,0,0,0,0,0,0.0,0
38,8,2,13,35,20,0,0,0,0,0,0,0,0,0.0,0
38,7,3,87,35,81,0,0,0,0,0,0,0,0,0.0,0
38,9,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
38,8,1,6,35,61,13,13,9,1002,13,16,1012,1002,0.0,0
38,7,1,6,35,86,4,3,2,432,4,4,244,432,0.0,0
38,8,1,102,35,81,3,2,2,330,3,5,306,330,0.0,0
38,9,4,1,35,20,46,17,7,5306,54,42,39325,5906,8.0,0
38,8,3,87,35,137,23,7,7,1967,29,24,6542,2417,6.0,0
38,7,3,87,2,84,13,7,7,1068,15,13,1006,1216,2.0,0
38,6,1,101,35,32,58,40,3,8165,66,77,54909,8787,8.0,0
38,8,1,6,35,20,23,12,8,3099,27,28,7395,3439,4.0,0
38,8,4,53,35,32,16,0,3,1879,22,20,8768,2307,6.0,0
38,9,1,66,35,32,35,30,2,4047,41,53,54041,4497,6.0,0
38,7,0,17,35,26,20,0,3,1578,24,24,20606,1890,4.0,0
38,7,1,80,35,20,42,20,4,4268,50,40,40666,4998,8.0,0
38,8,4,110,35,20,0,0,0,0,0,0,0,0,0.0,0
38,7,1,80,35,20,44,0,4,5064,50,42,35677,5586,6.0,0
38,9,2,26,35,20,0,0,0,0,0,0,0,0,0.0,0
38,7,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
38,9,3,110,35,13,0,0,0,0,0,0,0,0,0.0,0
39,9,0,18,35,140,20,0,2,2976,26,23,7783,3440,6.0,1
39,8,4,108,35,20,0,0,0,0,0,0,0,0,0.0,0
39,7,1,22,2,92,0,0,0,0,0,0,0,0,0.0,0
39,9,4,108,35,20,0,0,0,0,0,0,0,0,0.0,0
39,8,2,6,35,153,0,0,0,0,0,0,0,0,0.0,0
39,9,1,159,35,13,0,0,0,0,0,0,0,0,0.0,0
39,8,4,171,35,32,0,0,0,0,0,0,0,0,0.0,0
39,8,2,81,35,149,0,0,0,0,0,0,0,0,0.0,0
39,7,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
39,7,4,6,35,23,0,0,0,0,0,0,0,0,0.0,0
39,8,4,159,35,105,0,0,0,0,0,0,0,0,0.0,0
39,8,1,80,35,20,0,0,0,0,0,0,0,0,0.0,0
39,7,1,6,35,86,0,0,0,0,0,0,0,0,0.0,0
39,8,4,108,35,20,61,52,4,7271,71,68,60586,8017,10.0,0
39,10,4,108,35,20,0,0,0,0,0,0,0,0,0.0,0
39,8,4,108,35,20,16,7,3,2241,22,20,6701,2683,6.0,0
39,8,4,108,35,20,64,48,8,6413,72,68,58285,7005,8.0,0
39,8,4,108,35,20,2,2,1,276,2,4,244,276,0.0,0
39,8,4,108,35,20,16,6,4,1224,16,4,244,1224,0.0,0
39,8,4,108,35,20,34,24,7,5528,34,22,7472,5528,0.0,0
39,8,4,108,35,20,6,2,3,492,6,3,184,492,0.0,0
39,8,4,108,35,20,5,3,2,498,5,7,438,498,0.0,0
39,8,4,108,35,20,22,9,10,1524,22,11,702,1524,0.0,0
39,8,4,108,35,20,2,2,1,276,2,4,246,276,0.0,0
39,9,4,1,35,20,3,3,1,366,3,5,306,366,0.0,0
39,8,4,108,35,20,18,7,11,1308,18,16,1030,1308,0.0,0
39,9,0,159,35,103,8,4,6,684,8,12,762,684,0.0,0
39,10,4,110,35,13,12,5,5,912,12,4,244,912,0.0,0
39,7,2,6,6,100,11,5,5,894,11,10,634,894,0.0,0
39,9,4,108,35,20,9,8,6,714,9,11,788,714,0.0,0
39,9,4,108,35,20,25,11,4,3771,33,32,11756,4385,8.0,0
39,8,0,6,1,15,10,2,7,927,14,20,2926,1241,4.0,0
39,8,4,108,35,20,23,6,10,2679,29,26,7080,3121,6.0,0
39,9,4,108,35,20,63,54,5,6884,73,70,57005,7630,10.0,0
39,7,4,22,20,37,9,0,1,865,11,12,19264,1045,2.0,0
39,9,0,159,35,103,40,11,12,6028,46,46,20061,6502,6.0,0
39,8,4,108,35,20,44,36,6,5129,52,68,59068,5721,8.0,0
39,6,0,165,21,121,71,67,7,7582,79,73,82537,8282,8.0,0
39,8,3,87,31,130,12,6,9,1063,14,16,1287,1213,2.0,0
